,repayment_id,loan_id,repayment_amount,loan_repayment_method_id,repayment_collected_date,collector_id,repayment_backdate,repayment_adjust_remaining_schedule,repayment_adjust_remaining_schedule_pro_rata,repayment_manual_composition,principal_repayment_amount,interest_repayment_amount,fees_repayment_amount,penalty_repayment_amount,loandisk_system_date,borrower_access_ids,repayment_description,dea_cash_bank_account,branch_id,custom_field_23214,repayment_backdated_date
7430,83481544,8884692,13000,35306,07/10/2025,98635,,,,,10600.06,0,0,2399.94,07/10/2025 12:08,[91476],nan,0,63796,TJ7GL6QXF0 - 8884692,nan
7431,83488646,8387922,58500,35306,07/10/2025,98635,,,,,37500,18000,3000,0,07/10/2025 13:15,[91476],nan,0,63796,TJ7HQ6TJIO - 8387922,nan
7432,83493181,8219704,3712,35306,07/10/2025,98635,,,,,3218,494,0,0,07/10/2025 14:08,[97470],nan,0,63796,TJ7A76QBX3 - 8219704,nan
7433,83493182,8219711,16288,35306,07/10/2025,98635,,,,,4301.5,9000,2986.5,0,07/10/2025 14:08,[97470],nan,0,63796,TJ7A76QBX3 - 8219711,nan
7434,83510134,8491376,8700,35306,07/10/2025,98635,,,,,7597.4,0,0,1102.6,07/10/2025 16:25,[97470],nan,0,63796,TJ7P66PYBI - 8491376,nan
7435,83511470,9350962,223000,35306,07/10/2025,98635,,,,,127500,86500,9000,0,07/10/2025 17:04,[97470],nan,0,63796,TJ7B46TF3J - 9350962,nan
7436,83512733,7976612,12000,35306,07/10/2025,98635,,,,,9242.87,2569.21,0,187.92,07/10/2025 17:58,[91476],nan,0,63796,TJ7QS6SH1J - 7976612,nan
7437,83519347,7737022,3500,35306,08/10/2025,98635,,,,,0,3258.34,0,241.66,08/10/2025 02:13,[91476],nan,0,63796,TJ81O6VSI4 - 7737022,nan
7438,83521680,8958570,260.7,35306,08/10/2025,98635,,,,,0,0,0,260.7,08/10/2025 04:50,[91476],nan,0,63796,TJ8RN6TEW3 - 8958570,nan
7439,83521681,8958689,739.3,35306,08/10/2025,98635,,,,,0,683.9,55.4,0,08/10/2025 04:50,[91476],nan,0,63796,TJ8RN6TEW3 - 8958689,nan
7440,83521966,8204219,5215.35,35306,08/10/2025,98635,,,,,4264,853,98.35,0,08/10/2025 05:12,[97470],nan,0,63796,TJ8R16T4NB - 8204219,nan
7441,83521967,8204225,35966.67,35306,08/10/2025,98635,,,,,19166.67,13800,3000,0,08/10/2025 05:12,[97470],nan,0,63796,TJ8R16T4NB - 8204225,nan
7442,83521968,9380645,1.98,35306,08/10/2025,98635,,,,,0,1.98,0,0,08/10/2025 05:12,[97470],nan,0,63796,TJ8R16T4NB - 9380645,nan
7443,83523880,9350962,249000,35307,08/10/2025,98635,,,,,176500,66500,6000,0,08/10/2025 06:04,[97470],nan,0,63796,FT25280M9QL6 - 9350962,nan
7444,83544653,9380311,0,35306,04/10/2025,97255,0,0,0,0,0,0,0,0,08/10/2025 09:22,[91476],nan,0,63796,TJ4LT6GGX6 - 9380311,nan
7445,83544828,8491376,1000,35306,08/10/2025,98635,,,,,965.72,0,0,34.28,08/10/2025 09:02,[97470],nan,0,63796,TJ8FE6UY84 - 8491376,nan
7446,83569155,8817370,28372.5,35306,08/10/2025,98635,,,,,0,25372.5,3000,0,08/10/2025 12:18,[97470],nan,0,63796,TJ8JW6SRND - 8817370,nan
7447,83569156,9086216,51627.5,35306,08/10/2025,98635,,,,,48250,0,0,3377.5,08/10/2025 12:18,[97470],nan,0,63796,TJ8JW6SRND - 9086216,nan
7448,83597253,9305252,20000,35306,08/10/2025,98635,,,,,6311.12,10688.88,3000,0,08/10/2025 14:33,[91476],nan,0,63796,TJ8AN6UBOD - 9305252,nan
7449,83604708,8958570,260.7,35306,08/10/2025,98635,,,,,0,260.7,0,0,08/10/2025 15:58,[91476],nan,0,63796,TJ8RN6V7G5 - 8958570,nan
7450,83604709,8958689,739.3,35306,08/10/2025,98635,,,,,613.2,126.1,0,0,08/10/2025 15:58,[91476],nan,0,63796,TJ8RN6V7G5 - 8958689,nan
7451,83605743,8812594,5000,35306,08/10/2025,98635,,,,,0,2000,3000,0,08/10/2025 16:35,[91476],nan,0,63796,TJ82R6XATW - 8812594,nan
7452,83609454,8976148,13000,35306,08/10/2025,98635,,,,,0,7566.36,3000,2433.64,08/10/2025 20:42,[91476],nan,0,63796,TJ8U92ATDI - 8976148,nan
7453,83619437,7976612,5000,35306,09/10/2025,98635,,,,,4809.02,0,0,190.98,09/10/2025 06:37,[91476],nan,0,63796,TJ9QS6WFV3 - 7976612,nan
7454,83629918,7399158,52540.9,35306,09/10/2025,98635,,,,,34958.87,12423.03,0,5159,09/10/2025 07:50,[91476],nan,0,63796,TJ9P86TY23 - 7399158,nan
7455,83629935,8388003,42.4,35306,09/10/2025,98635,,,,,0,40,0,2.4,09/10/2025 07:50,[91476],nan,0,63796,TJ9P86TY23 - 8388003,nan
7456,83629951,9102132,7916.7,35306,09/10/2025,98635,,,,,0,791.67,0,7125.03,09/10/2025 07:50,[91476],nan,0,63796,TJ9P86TY23 - 9102132,nan
7457,83640997,9048493,50000,35306,09/10/2025,98635,,,,,2733.27,24000,3000,20266.73,09/10/2025 08:20,[91476],nan,0,63796,TJ9AF6W2R8 - 9048493,nan
7458,83676765,7526722,179,35306,09/10/2025,98635,,,,,178.2,0,0.8,0,09/10/2025 11:27,[97470],nan,0,63796,TJ9576YGV8 - 7526722,nan
7459,83683354,7662346,26888.89,35306,09/10/2025,98635,,,,,13888.89,10000,3000,0,09/10/2025 12:14,[97470],nan,0,63796,TJ99U6WDHO - 7662346,nan
7460,83683356,7672718,4251.11,35306,09/10/2025,98635,,,,,3459,692,100.11,0,09/10/2025 12:14,[97470],nan,0,63796,TJ99U6WDHO - 7672718,nan
7461,83688770,7399158,32483.3,35306,09/10/2025,98635,,,,,32483.3,0,0,0,09/10/2025 12:51,[91476],nan,0,63796,TJ9P86UP5N - 7399158,nan
7462,83688782,9102132,7916.7,35306,09/10/2025,98635,,,,,0,7916.7,0,0,09/10/2025 12:51,[91476],nan,0,63796,TJ9P86UP5N - 9102132,nan
7463,83690084,8958570,388.45,35306,09/10/2025,98635,,,,,0,260.7,0,127.75,09/10/2025 13:08,[91476],nan,0,63796,TJ9RN6XVU5 - 8958570,nan
7464,83690089,8958689,611.55,35306,09/10/2025,98635,,,,,611.55,0,0,0,09/10/2025 13:08,[91476],nan,0,63796,TJ9RN6XVU5 - 8958689,nan
7465,83692355,9203095,10000,35306,09/10/2025,98635,,,,,6714.4,3285.6,0,0,09/10/2025 13:35,[91476],nan,0,63796,TJ9516ZLL6 - 9203095,nan
7466,83729550,7658199,20884,35306,09/10/2025,98635,,,,,12083.33,5800,3000.67,0,09/10/2025 16:23,[91476],nan,0,63796,TJ9GB6YLXQ - 7658199,nan
7467,83837403,8399495,5455.56,35306,10/10/2025,98635,,,,,5455.56,0,0,0,10/10/2025 16:06,[97470],nan,0,63796,TJA2J74WXZ - 8399495,nan
7468,83837417,8399607,3544.44,35306,10/10/2025,98635,,,,,2431.69,1013,99.75,0,10/10/2025 16:06,[97470],nan,0,63796,TJA2J74WXZ - 8399607,nan
7469,83838541,8958570,513.59,35306,10/10/2025,98635,,,,,0,388.45,0,125.14,10/10/2025 16:43,[91476],nan,0,63796,TJARN71VT7 - 8958570,nan
7470,83838542,8958689,286.41,35306,10/10/2025,98635,,,,,286.41,0,0,0,10/10/2025 16:43,[91476],nan,0,63796,TJARN71VT7 - 8958689,nan
7471,83847158,8399607,2635,35306,11/10/2025,98635,,,,,2634.31,0,0.69,0,11/10/2025 07:47,[97470],nan,0,63796,TJB2J76JLY - 8399607,nan
7472,83854641,7216904,10000,35306,11/10/2025,98635,,,,,0,7000.84,2999.16,0,11/10/2025 09:16,[97470],nan,0,63796,TJBFN74HEX - 7216904,nan
7473,83860666,8958570,634.84,35306,11/10/2025,98635,,,,,0,513.59,0,121.25,11/10/2025 12:47,[91476],nan,0,63796,TJBRN74B0I - 8958570,nan
7474,83860667,8958689,565.16,35306,11/10/2025,98635,,,,,565.16,0,0,0,11/10/2025 12:47,[91476],nan,0,63796,TJBRN74B0I - 8958689,nan
7475,83865279,8588851,10000,35306,11/10/2025,98635,,,,,6000,4000,0,0,11/10/2025 17:16,[91476],nan,0,63796,TJBPB72OAL - 8588851,nan
7476,83865520,9111469,16039.19,35306,11/10/2025,98635,,,,,8265.92,7773.27,0,0,11/10/2025 17:49,[91476],nan,0,63796,TJB0I754BN - 9111469,nan
7477,83865521,9111486,4130.81,35306,11/10/2025,98635,,,,,3218,717.6,195.21,0,11/10/2025 17:49,[91476],nan,0,63796,TJB0I754BN - 9111486,nan
7478,83866367,7955509,3000,35306,12/10/2025,98635,,,,,0,3000,0,0,11/10/2025 23:43,[91476],nan,0,63796,TJCGB75O1E - 7955509,nan
7479,83868079,8958570,750.96,35306,12/10/2025,98635,,,,,622.64,12.2,0,116.12,12/10/2025 09:20,[91476],nan,0,63796,TJCRN76ONN - 8958570,nan
7480,83868080,8958689,249.04,35306,12/10/2025,98635,,,,,249.04,0,0,0,12/10/2025 09:20,[91476],nan,0,63796,TJCRN76ONN - 8958689,nan
7481,83869863,9203095,10900,35306,12/10/2025,98635,,,,,7888.27,3011.73,0,0,12/10/2025 15:01,[91476],nan,0,63796,TJC5179HJS - 9203095,nan
7482,83870907,7976612,3000,35306,12/10/2025,98635,,,,,2857.8,0,0,142.2,12/10/2025 18:01,[91476],nan,0,63796,TJC487AA2N - 7976612,nan
7483,83870915,7976612,3000,35306,12/10/2025,98635,,,,,1881.98,0,1118.02,0,12/10/2025 18:05,[91476],nan,0,63796,TJC487A8P0 - 7976612,nan
7484,83870927,9350962,159984,35306,12/10/2025,98635,,,,,92784,61200,6000,0,12/10/2025 18:11,[97470],nan,0,63796,TJCB479MD1 - 9350962,nan
7485,83870928,9396105,44016,35306,12/10/2025,98635,,,,,36180,7236,600,0,12/10/2025 18:11,[97470],nan,0,63796,TJCB479MD1 - 9396105,nan
7486,83874206,7737022,882,35306,13/10/2025,91368,0,0,0,0,0,277.85,0,604.15,13/10/2025 11:48am,[91476],nan,0,63796,TJD1O7BT0Y - 7737022,nan
7487,83877174,9206476,55000,35306,13/10/2025,98635,,,,,50000,5000,0,0,13/10/2025 4:08am,[97470],nan,0,63796,TJDFY77ZJ2 - 9206476,nan
7488,83877175,9294161,10000,35306,13/10/2025,98635,,,,,9000,1000,0,0,13/10/2025 4:08am,[97470],nan,0,63796,TJDFY77ZJ2 - 9294161,nan
7489,83877626,9202375,44976.67,35306,13/10/2025,98635,,,,,21416.67,20560,3000,0,13/10/2025 4:39am,[97470],nan,0,63796,TJD5X7B4MV - 9202375,nan
7490,83877627,9246916,10023.33,35306,13/10/2025,98635,,,,,0,10023.33,0,0,13/10/2025 4:39am,[97470],nan,0,63796,TJD5X7B4MV - 9246916,nan
7491,83879677,7730780,18000,35306,13/10/2025,98635,,,,,3162.68,12050.52,2786.8,0,13/10/2025 5:58am,[97470],nan,0,63796,TJDM6797T7 - 7730780,nan
7492,83882289,7955509,3000,35306,13/10/2025,98635,,,,,418.06,2581.94,0,0,13/10/2025 6:52am,[91476],nan,0,63796,TJDGB793IM - 7955509,nan
7493,83882473,8385256,16914.91,35306,13/10/2025,98635,,,,,0,13298.23,3000,616.68,13/10/2025 6:58am,[91476],nan,0,63796,TJD7M784T6 - 8385256,nan
7494,83882474,8385260,5745,35306,13/10/2025,98635,,,,,4704,941,100,0,13/10/2025 6:58am,[91476],nan,0,63796,TJD7M784T6 - 8385260,nan
7495,83882475,9030532,2340.09,35306,13/10/2025,98635,,,,,1983.15,0,0,356.94,13/10/2025 6:58am,[91476],nan,0,63796,TJD7M784T6 - 9030532,nan
7496,83883789,8603968,39966.67,35306,13/10/2025,98635,,,,,25000,12000,2966.67,0,13/10/2025 7:23am,[91476],nan,0,63796,TJDAN798XQ - 8603968,nan
7497,83883790,9071384,33.33,35306,13/10/2025,98635,,,,,0,33.33,0,0,13/10/2025 7:23am,[91476],nan,0,63796,TJDAN798XQ - 9071384,nan
7498,83897293,7737036,5118,35306,13/10/2025,97255,0,0,0,0,4182,836,100,0,13/10/2025 8:50am,[91476],nan,0,63796,TJD1O7BT0Y - 7737022-1,nan
7499,83903187,8491376,500,35306,10/10/2025,98635,,,,,487.4,0,7.73,4.87,13/10/2025 9:21am,[97470],nan,0,63796,TJAFE71GEN - 8491376,nan
7500,83903343,8491376,13,35306,10/10/2025,98635,,,,,0,0,13,0,13/10/2025 9:21am,[97470],nan,0,63796,TJAFE71OY1 - 8491376,nan
7501,83946063,8611273,5118.29,35306,13/10/2025,98635,,,,,4182,836,100.29,0,13/10/2025 11:59am,[97470],nan,0,63796,TJDHE7BTTQ - 8611273,nan
7502,83946065,8611288,41197.71,35306,13/10/2025,98635,,,,,19488.63,18709.08,3000,0,13/10/2025 11:59am,[97470],nan,0,63796,TJDHE7BTTQ - 8611288,nan
7503,83948885,7399158,7860.15,35306,13/10/2025,98635,,,,,7557.83,0,0,302.32,13/10/2025 12:13pm,[91476],nan,0,63796,TJDP87786D - 7399158,nan
7504,83948887,8388003,38514.87,35306,13/10/2025,98635,,,,,20553.66,15960,0,2001.21,13/10/2025 12:13pm,[91476],nan,0,63796,TJDP87786D - 8388003,nan
7505,83948888,9102132,92624.98,35306,13/10/2025,98635,,,,,79166.67,10291.63,0,3166.68,13/10/2025 12:13pm,[91476],nan,0,63796,TJDP87786D - 9102132,nan
7506,83949684,7399158,846.99,35306,13/10/2025,98635,,,,,0,0,846.99,0,13/10/2025 12:20pm,[91476],nan,0,63796,TJDP877AYH - 7399158,nan
7507,83949708,8388003,46153.01,35306,13/10/2025,98635,,,,,46153.01,0,0,0,13/10/2025 12:20pm,[91476],nan,0,63796,TJDP877AYH - 8388003,nan
7508,83953656,9051615,16,35306,13/10/2025,98635,,,,,0,0,16,0,13/10/2025 12:53pm,[91476],nan,0,63796,TJD247BNDT - 9051615,nan
7509,83953657,9184793,82984,35306,13/10/2025,98635,,,,,76000,6984,0,0,13/10/2025 12:53pm,[91476],nan,0,63796,TJD247BNDT - 9184793,nan
7510,83970933,8958570,860.73,35306,13/10/2025,98635,,,,,750.96,0,0,109.77,13/10/2025 2:18pm,[91476],nan,0,63796,TJDRN7ASK3 - 8958570,nan
7511,83970935,8958689,39.27,35306,13/10/2025,98635,,,,,39.27,0,0,0,13/10/2025 2:18pm,[91476],nan,0,63796,TJDRN7ASK3 - 8958689,nan
7512,83974985,8884692,10000,35306,13/10/2025,98635,,,,,8236.06,0,0,1763.94,13/10/2025 2:36pm,[91476],nan,0,63796,TJDGL7A6OV - 8884692,nan
7513,83988702,8279030,5600.35,35306,13/10/2025,98635,,,,,4584,917,99.35,0,13/10/2025 5:33pm,[97470],nan,0,63796,TJDAF7AHMA - 8279030,nan
7514,83988703,8279032,14399.65,35306,13/10/2025,98635,,,,,0,11399.65,3000,0,13/10/2025 5:33pm,[97470],nan,0,63796,TJDAF7AHMA - 8279032,nan
7515,84003383,8414156,15000,35306,14/10/2025,98635,,,,,5200,6800,3000,0,14/10/2025 4:56am,[97470],nan,0,63796,TJEQI7C0DV - 8414156,nan
7516,84010512,8884692,21374.55,35306,14/10/2025,98635,,,,,21162.92,0,0,211.63,14/10/2025 6:32am,[91476],nan,0,63796,TJEGL7C32C - 8884692,nan
7517,84010513,9215756,625.45,35306,14/10/2025,98635,,,,,0,625.45,0,0,14/10/2025 6:32am,[91476],nan,0,63796,TJEGL7C32C - 9215756,nan
7518,84011466,7414594,15295,35306,14/10/2025,98635,,,,,13866,1329,100,0,14/10/2025 6:57am,[91476],nan,0,63796,TJER27CCPF - 7414594,nan
7519,84020646,8994262,74500,35306,14/10/2025,98635,,,,,56550.5,13800,2999.5,1150,14/10/2025 8:13am,[91476],nan,0,63796,TJE1E7C8XT - 8994262,nan
7520,84034617,8588916,4877,35306,14/10/2025,98635,,,,,3981,796,100,0,14/10/2025 9:08am,[91476],nan,0,63796,TJE9D7E8V1 - 8588916,nan
7521,84034627,8588921,32123,35306,14/10/2025,98635,,,,,14473.67,14242.32,2961.93,445.08,14/10/2025 9:08am,[91476],nan,0,63796,TJE9D7E8V1 - 8588921,nan
7522,84035331,8976148,30000,35306,14/10/2025,98635,,,,,13440.96,9683.64,0,6875.4,14/10/2025 9:11am,[91476],nan,0,63796,TJEU92I85M - 8976148,nan
7523,84039049,8588921,500,35306,14/10/2025,98635,,,,,362.08,0,137.92,0,14/10/2025 9:41am,[91476],nan,0,63796,TJE9D7EH47 - 8588921,nan
7524,84039311,8276291,4395,35306,14/10/2025,98635,,,,,3579,716,100,0,14/10/2025 9:46am,[97470],nan,0,63796,TJEF07EUM5 - 8276291,nan
7525,84039312,8276293,27500,35306,14/10/2025,98635,,,,,12500,12000,3000,0,14/10/2025 9:46am,[97470],nan,0,63796,TJEF07EUM5 - 8276293,nan
7526,84045893,8588851,10986.68,35306,14/10/2025,98635,,,,,10666.67,0,0,320.01,14/10/2025 10:39am,[91476],nan,0,63796,TJEPB7AF6J - 8588851,nan
7527,84045894,8857259,0.32,35306,14/10/2025,98635,,,,,0,0,0.32,0,14/10/2025 10:39am,[91476],nan,0,63796,TJEPB7AF6J - 8857259,nan
7528,84062142,8491376,2000,35306,09/10/2025,98635,,,,,1975.37,0,0,24.63,14/10/2025 12:39pm,[97470],nan,0,63796,TJ9FE70XHR - 8491376,nan
7529,84067243,8776265,63350,118491,06/10/2025,97256,,,,,63350,0,0,0,06/10/2025 14:19,[97470],nan,0,63796,Disburse 184k to clear,nan
7530,84067244,8788567,33216,118491,07/10/2025,97256,,,,,24666.66,5550,2999.3,0.04,07/10/2025 14:16,[97470],nan,0,63796,Disburse 55500 to clear,nan
7531,84070935,9305252,10632,35306,14/10/2025,98635,,,,,8534.55,0,2097.45,0,14/10/2025 1:58pm,[91476],nan,0,63796,TJEAN7DIDG - 9305252,nan
7532,84070937,9305263,9368,35306,14/10/2025,98635,,,,,7640,1528,200,0,14/10/2025 1:58pm,[91476],nan,0,63796,TJEAN7DIDG - 9305263,nan
7533,84071306,8994262,950,35306,14/10/2025,98635,,,,,949.5,0,0.5,0,14/10/2025 2:10pm,[91476],nan,0,63796,TJE1E7D5TD - 8994262,nan
7534,84102737,8958570,962.99,35306,15/10/2025,98635,,,,,758.47,0,0,204.52,14/10/2025 9:38pm,[91476],nan,0,63796,TJFRN7FF6O - 8958570,nan
7535,84102738,8958689,37.01,35306,15/10/2025,98635,,,,,37.01,0,0,0,14/10/2025 9:38pm,[91476],nan,0,63796,TJFRN7FF6O - 8958689,nan
7536,84150459,8491376,2000,35306,15/10/2025,98635,,,,,0,0,2000,0,15/10/2025 10:19am,[97470],nan,0,63796,TJFH67JH7O - 8491376,nan
7537,84156229,9252283,143000,35307,14/10/2025,98635,,,,,121200,18800,3000,0,15/10/2025 11:00am,[97470],nan,0,63796,FT2528787X82 - 9252283,nan
7538,84185820,8958570,1000,35306,15/10/2025,98635,,,,,1000,0,0,0,15/10/2025 1:16pm,[91476],nan,0,63796,TJFRN7GW8H - 8958570,nan
7539,84195869,7730780,5000,35306,15/10/2025,98635,,,,,5000,0,0,0,15/10/2025 1:46pm,[97470],nan,0,63796,TJFM67H59U - 7730780,nan
7540,84196386,8705839,0.95,35306,15/10/2025,98635,,,,,0,0,0.95,0,15/10/2025 1:47pm,[97470],nan,0,63796,TJFFY7F2VC - 8705839,nan
7541,84196388,9190588,9196.05,35306,15/10/2025,98635,,,,,6444.44,2313.71,0,437.9,15/10/2025 1:47pm,[97470],nan,0,63796,TJFFY7F2VC - 9190588,nan
7542,84198249,8976148,20000,35306,15/10/2025,98635,,,,,18759.33,0,0,1240.67,15/10/2025 1:54pm,[91476],nan,0,63796,TJFU92K87G - 8976148,nan
7543,84202871,8957131,209797,35307,15/10/2025,97256,,,,,183357,25440,1000,0,15/10/2025 2:12pm,[97470],nan,0,63796,Refund to clear,nan
7544,84217224,9350962,118164,35306,15/10/2025,98635,,,,,84564,30600,3000,0,15/10/2025 5:27pm,[97470],nan,0,63796,TJFB47IUCT - 9350962,nan
7545,84217225,9396105,7336,35306,15/10/2025,98635,,,,,6030,1206,100,0,15/10/2025 5:27pm,[97470],nan,0,63796,TJFB47IUCT - 9396105,nan
7546,84231553,8817370,30000,35306,16/10/2025,98635,,,,,27261.38,2738.62,0,0,16/10/2025 6:35am,[97470],nan,0,63796,TJGJW7GOBT - 8817370,nan
7547,84235000,8414149,3538.34,35306,16/10/2025,98635,,,,,2679.73,759,99.61,0,16/10/2025 6:50am,[97470],nan,0,63796,TJGQI7IF24 - 8414149,nan
7548,84235004,8414156,37.66,35306,16/10/2025,98635,,,,,0,0,0,37.66,16/10/2025 6:50am,[97470],nan,0,63796,TJGQI7IF24 - 8414156,nan
7549,84237970,8624450,75331.32,35306,16/10/2025,91368,,,,,58333.33,14000,2997.99,0,16/10/2025 7:23am,[91476],nan,0,63796,TJGEI7K4WZ - 8624450,nan
7550,84237981,9380889,2.68,35306,16/10/2025,91368,,,,,0,2.68,0,0,16/10/2025 7:23am,[91476],nan,0,63796,TJGEI7K4WZ - 9380889,nan
7551,84243722,8437732,8241,35306,16/10/2025,98635,,,,,6784,1357,100,0,16/10/2025 7:57am,[97470],nan,0,63796,TJGNO7KJGJ - 8437732,nan
7552,84293539,8817370,25306,35306,16/10/2025,98635,,,,,25306,0,0,0,16/10/2025 11:28am,[97470],nan,0,63796,TJGJW7HMYL - 8817370,nan
7553,84302875,7399158,72000,35306,16/10/2025,98635,,,,,15846.99,54000,2153.01,0,16/10/2025 12:09pm,[91476],nan,0,63796,TJGP87GDOH - 7399158,nan
7554,84303198,9246916,16000,35306,16/10/2025,98635,,,,,12923.33,3076.67,0,0,16/10/2025 12:20pm,[97470],nan,0,63796,TJG5X7LUOG - 9246916,nan
7555,84307377,8817370,5997.45,35306,16/10/2025,98635,,,,,5997.45,0,0,0,16/10/2025 1:33pm,[97470],nan,0,63796,TJGR17JVCU - 8817370,nan
7556,84307378,9260862,2.55,35306,16/10/2025,98635,,,,,0,2.55,0,0,16/10/2025 1:33pm,[97470],nan,0,63796,TJGR17JVCU - 9260862,nan
7557,84317918,9202375,67.5,35306,16/10/2025,98635,,,,,0,0,67.5,0,16/10/2025 2:49pm,[97470],nan,0,63796,TJG5X7M9C3 - 9202375,nan
7558,84317919,9246916,722.5,35306,16/10/2025,98635,,,,,722.5,0,0,0,16/10/2025 2:49pm,[97470],nan,0,63796,TJG5X7M9C3 - 9246916,nan
7559,84329547,8580046,19964,35306,16/10/2025,98635,,,,,16470,3294,200,0,16/10/2025 4:55pm,[97470],nan,0,63796,TJGNT7MAGE - 8580046,nan
7560,84329548,8580052,104086,35306,16/10/2025,98635,,,,,51917.28,49168.72,3000,0,16/10/2025 4:55pm,[97470],nan,0,63796,TJGNT7MAGE - 8580052,nan
7561,84329928,8833651,5765.66,35306,16/10/2025,98635,,,,,4821.66,844,100,0,16/10/2025 5:04pm,[91476],nan,0,63796,TJG507L925 - 8833651,nan
7562,84329929,8833665,34234.34,35306,16/10/2025,98635,,,,,12500,15734.34,6000,0,16/10/2025 5:04pm,[91476],nan,0,63796,TJG507L925 - 8833665,nan
7563,84329953,7702385,4906,35306,16/10/2025,98635,,,,,4005,801,100,0,16/10/2025 5:06pm,[97470],nan,0,63796,TJGCT7KDOI - 7702385,nan
7564,84329955,7702391,31860,35306,16/10/2025,98635,,,,,19500,9360,3000,0,16/10/2025 5:06pm,[97470],nan,0,63796,TJGCT7KDOI - 7702391,nan
7565,84331256,9350962,80664,35306,16/10/2025,98635,,,,,47064,30600,3000,0,16/10/2025 5:22pm,[97470],nan,0,63796,TJGB47M3RD - 9350962,nan
7566,84331257,9396105,7336,35306,16/10/2025,98635,,,,,6030,1206,100,0,16/10/2025 5:22pm,[97470],nan,0,63796,TJGB47M3RD - 9396105,nan
7567,84333801,7399158,15000,35306,16/10/2025,98635,,,,,15000,0,0,0,16/10/2025 6:14pm,[91476],nan,0,63796,TJGP87HNLH - 7399158,nan
7568,84334222,9355116,20000,35306,16/10/2025,98635,,,,,9866.68,7133.32,3000,0,16/10/2025 6:37pm,[91476],nan,0,63796,TJGIE7N37L - 9355116,nan
7569,84334588,8958570,950,35306,16/10/2025,98635,,,,,865.32,0,0,84.68,16/10/2025 7:01pm,[91476],nan,0,63796,TJGRN7LC3S - 8958570,nan
7570,84334598,8976148,75000,35306,16/10/2025,98635,,,,,73946.92,0,0,1053.08,16/10/2025 7:03pm,[91476],nan,0,63796,TJGU92LT82 - 8976148,nan
7571,84335005,8999229,8000,35306,16/10/2025,98635,,,,,0,4386.41,2941.38,672.21,16/10/2025 7:26pm,[97470],nan,0,63796,TJG617MA74 - 8999229,nan
7572,84456484,8958570,1000,35306,17/10/2025,98635,,,,,923.98,0,0,76.02,17/10/2025 4:58pm,[91476],nan,0,63796,TJHRN7OO2J - 8958570,nan
7573,84483651,7399158,13000,35306,18/10/2025,98635,,,,,13000,0,0,0,18/10/2025 10:05am,[91476],nan,0,63796,TJIP87MHB0 - 7399158,nan
7574,84485060,7730780,5000,35306,18/10/2025,98635,,,,,5000,0,0,0,18/10/2025 11:04am,[97470],nan,0,63796,TJIM67QGWR - 7730780,nan
7575,84485084,9048493,70000,35306,18/10/2025,98635,,,,,60646.03,0,0,9353.97,18/10/2025 11:04am,[91476],nan,0,63796,TJIAF7OVZV - 9048493,nan
7576,84486113,8387922,0.67,35306,18/10/2025,98635,,,,,0,0,0.67,0,18/10/2025 12:14pm,[91476],nan,0,63796,TJIHQ7S94C - 8387922,nan
7577,84486114,9238917,35133.33,35306,18/10/2025,98635,,,,,28333.33,6800,0,0,18/10/2025 12:14pm,[91476],nan,0,63796,TJIHQ7S94C - 9238917,nan
7578,84486518,9246991,20000,35306,18/10/2025,98635,,,,,8868.35,11131.65,0,0,18/10/2025 12:51pm,[97470],nan,0,63796,TJI1Y7TH6K - 9246991,nan
7579,84487515,9346477,3000,35306,18/10/2025,98635,,,,,0,0,3000,0,18/10/2025 2:25pm,[97470],nan,0,63796,TJIAP7PZVU - 9346477,nan
7580,84495351,8431931,44777.35,35306,19/10/2025,98635,,,,,27610.69,13600,3000,566.66,19/10/2025 11:55am,[91476],nan,0,63796,TJJ8K7Q5DP - 8431931,nan
7581,84495352,8435475,5222.65,35306,19/10/2025,98635,,,,,4270,854,98.65,0,19/10/2025 11:56am,[91476],nan,0,63796,TJJ8K7Q5DP - 8435475,nan
7582,84497845,9346477,3000,35306,19/10/2025,98635,,,,,0,3000,0,0,19/10/2025 7:01pm,[97470],nan,0,63796,TJJAP7TSH4 - 9346477,nan
7583,84497848,8976148,20000,35306,19/10/2025,98635,,,,,19059.17,0,0,940.83,19/10/2025 7:13pm,[91476],nan,0,63796,TJJU92Q550 - 8976148,nan
7584,84499022,8414149,1116.27,35306,20/10/2025,98635,,,,,1116.27,0,0,0,20/10/2025 12:46am,[97470],nan,0,63796,TJKQI7U9V7 - 8414149,nan
7585,84499023,8414156,1933.73,35306,20/10/2025,98635,,,,,1858.41,0,0,75.32,20/10/2025 12:46am,[97470],nan,0,63796,TJKQI7U9V7 - 8414156,nan
7586,84523822,8921153,10000,35306,20/10/2025,98635,,,,,0,7000,3000,0,20/10/2025 8:08am,[97470],nan,0,63796,TJKJV7TZ3C - 8921153,nan
7587,84528008,7955509,2000,35306,20/10/2025,98635,,,,,2000,0,0,0,20/10/2025 8:34am,[91476],nan,0,63796,TJK6M7UQZP - 7955509,nan
7588,84627982,9184796,48584,35306,20/10/2025,98635,,,,,36666.67,8250.63,0,3666.7,20/10/2025 3:58pm,[91476],nan,0,63796,TJKR27WNI9 - 9184796,nan
